State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,01/01/2016,75000,76000,76000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,18/01/2016,74000,75000,75000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,03/02/2016,74000,75000,75000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,24/02/2016,73000,74000,74000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,08/03/2016,73000,74000,74000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,11/03/2016,73000,74000,74000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,19/03/2016,72000,73000,73000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,23/03/2016,72000,73000,73000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,02/04/2016,73000,74000,74000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,06/04/2016,74000,75000,75000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,16/04/2016,74000,75000,75000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,18/04/2016,74000,75000,75000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,25/04/2016,75000,76000,76000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,29/04/2016,74000,75000,75000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,03/05/2016,75000,76000,76000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,06/05/2016,74000,75000,75000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,10/05/2016,74000,75000,75000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,13/05/2016,74000,75000,75000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,19/05/2016,74000,75000,75000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,24/05/2016,75000,76000,76000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,27/05/2016,75000,76000,76000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,03/06/2016,75000,76000,76000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,07/06/2016,75000,76000,76000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,22/06/2016,76000,77000,77000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,24/06/2016,76000,77000,77000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,07/07/2016,76000,77000,77000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,12/07/2016,76000,77000,77000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,19/07/2016,76000,77000,77000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,08/08/2016,78000,79000,79000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,30/08/2016,78000,79000,79000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,31/08/2016,78000,79000,79000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,20/09/2016,78000,79000,79000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,22/09/2016,78000,79000,79000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,17/10/2016,78000,79000,79000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,19/10/2016,79000,80000,80000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,13/01/2016,75000,76000,76000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,16/01/2016,75000,76000,76000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,23/01/2016,74000,75000,75000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,28/01/2016,74000,75000,75000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,06/02/2016,74000,74000,74000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,09/02/2016,74000,75000,75000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,22/03/2016,72000,73000,73000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,26/03/2016,72000,73000,73000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,29/03/2016,73000,74000,74000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,08/04/2016,74000,75000,75000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,12/04/2016,74000,75000,75000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,19/04/2016,74000,75000,75000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,21/04/2016,74000,75000,75000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,23/04/2016,74000,75000,75000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,02/05/2016,75000,76000,76000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,04/05/2016,75000,76000,76000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,11/05/2016,74000,75000,75000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,25/05/2016,74000,75000,75000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,31/05/2016,75000,76000,76000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,09/06/2016,75000,76000,76000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,15/06/2016,75000,76000,76000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,21/06/2016,75000,76000,76000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,25/06/2016,76000,77000,77000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,29/06/2016,76000,77000,77000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,01/07/2016,76000,77000,77000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,22/07/2016,77000,78000,78000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,26/07/2016,77000,78000,78000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,06/08/2016,78000,79000,79000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,13/08/2016,78000,79000,79000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,20/08/2016,78000,79000,79000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,22/08/2016,78000,79000,79000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,03/09/2016,78000,79000,79000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,06/09/2016,78000,79000,79000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,17/09/2016,78000,79000,79000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,30/09/2016,79000,80000,80000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,14/10/2016,78000,79000,79000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,08/01/2016,75000,76000,76000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,12/01/2016,75000,76000,76000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,25/01/2016,74000,75000,75000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,30/01/2016,74000,75000,75000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,01/02/2016,73000,74000,74000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,02/02/2016,74000,75000,75000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,04/02/2016,74000,75000,75000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,08/02/2016,74000,75000,75000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,10/02/2016,74000,75000,75000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,11/02/2016,74000,75000,75000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,15/02/2016,74000,75000,75000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,17/02/2016,73000,74000,74000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,19/02/2016,73000,74000,74000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,22/02/2016,73000,74000,74000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,29/02/2016,73000,74000,74000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,03/03/2016,73000,74000,74000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,04/03/2016,73000,74000,74000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,17/03/2016,72000,73000,73000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,21/03/2016,72000,73000,73000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,30/03/2016,72000,73000,73000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,04/04/2016,73000,74000,74000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,07/04/2016,74000,75000,75000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,15/04/2016,74000,75000,75000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,20/04/2016,74000,75000,75000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,22/04/2016,74000,75000,75000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,26/04/2016,75000,76000,76000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,05/05/2016,74000,75000,75000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,17/05/2016,75000,76000,76000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,18/05/2016,75000,76000,76000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,26/05/2016,75000,76000,76000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,06/06/2016,75000,76000,76000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,27/06/2016,76000,77000,77000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,11/07/2016,76000,77000,77000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,13/07/2016,76000,77000,77000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,15/07/2016,76000,77000,77000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,18/07/2016,76000,77000,77000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,21/07/2016,76000,77000,77000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,01/08/2016,77000,78000,78000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,05/08/2016,78000,79000,79000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,25/08/2016,78000,79000,79000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,26/08/2016,78000,79000,79000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,29/08/2016,78000,79000,79000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,26/09/2016,78000,79000,79000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,27/09/2016,79000,80000,80000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,18/10/2016,79000,80000,80000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,21/10/2016,79000,80000,80000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,04/01/2016,75000,76000,76000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,05/01/2016,75000,76000,76000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,21/01/2016,74000,75000,75000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,22/01/2016,74000,75000,75000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,05/02/2016,74000,75000,75000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,12/02/2016,74000,75000,75000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,28/03/2016,73000,74000,74000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,27/04/2016,75000,76000,76000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,28/04/2016,75000,76000,76000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,09/05/2016,74000,75000,75000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,30/05/2016,75000,76000,76000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,01/06/2016,75000,76000,76000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,02/06/2016,75000,76000,76000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,14/06/2016,75000,76000,76000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,18/06/2016,75000,76000,76000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,23/06/2016,76000,77000,77000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,28/06/2016,76000,77000,77000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,02/07/2016,76000,77000,77000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,08/07/2016,76000,77000,77000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,09/08/2016,78000,79000,79000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,10/08/2016,78000,79000,79000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,11/08/2016,78000,79000,79000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,17/08/2016,78000,79000,79000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,23/08/2016,78000,79000,79000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,19/09/2016,78000,79000,79000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,23/09/2016,78000,79000,79000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,28/09/2016,79000,80000,80000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,29/09/2016,79000,80000,80000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,01/10/2016,79000,80000,80000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,03/10/2016,79000,80000,80000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,15/10/2016,79000,80000,80000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,22/10/2016,79000,80000,80000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,26/10/2016,79000,80000,80000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,27/10/2016,79000,80000,80000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,11/01/2016,75000,76000,76000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,29/01/2016,74000,75000,75000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,18/02/2016,73000,74000,74000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,20/02/2016,73500,74500,74500,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,23/02/2016,73000,74000,74000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,25/02/2016,73000,74000,74000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,26/02/2016,73000,74000,74000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,27/02/2016,73000,74000,74000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,05/03/2016,73000,74000,74000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,09/03/2016,73500,74500,74500,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,10/03/2016,73000,74000,74000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,16/03/2016,72000,73000,73000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,18/03/2016,73000,74000,74000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,31/03/2016,73000,74000,74000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,13/04/2016,74000,75000,75000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,07/05/2016,74000,75000,75000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,12/05/2016,74000,75000,75000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,20/05/2016,75000,76000,76000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,21/05/2016,75000,76000,76000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,23/05/2016,76000,77000,77000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,28/05/2016,75000,76000,76000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,04/06/2016,75000,76000,76000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,08/06/2016,75000,76000,76000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,10/06/2016,75000,76000,76000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,13/06/2016,75000,76000,76000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,17/06/2016,75000,76000,76000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,20/06/2016,75000,76000,76000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,30/06/2016,76000,77000,77000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,14/07/2016,76000,77000,77000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,16/07/2016,76000,77000,77000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,20/07/2016,76000,77000,77000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,23/07/2016,77000,78000,78000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,27/07/2016,77000,78000,78000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,28/07/2016,77000,78000,78000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,04/08/2016,78000,79000,79000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,27/08/2016,78000,79000,79000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,01/09/2016,78000,79000,79000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,08/09/2016,78000,79000,79000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,20/10/2016,79000,80000,80000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,24/10/2016,79000,80000,80000,40
Kerala,Wayanad,Kalpetta,Cardamoms,Other,FAQ,25/10/2016,79000,80000,80000,40
